id,source,source_file,record_type,sno,date_raw,date,date_year_assumed,shift,time_of_day,category_raw,category,sub_category,area_raw,area,department,unit,sub_location,observer_id,status,corrective_action,comments,extra,description,description_words,text,is_duplicate,duplicate_of,dup_kind,duplicate_ids
reg_near_miss_report_0045,register,near_miss_report.csv,near_miss,45,20-Sep,2024-09-20,True,,Day,Unsafe Act,UA,NARROW ESCAPE,Dispatch,DISPATCH,,,,d335a563,CLOSED,Enforce use of pedestrian walkway. Conside installation of walkway stop gate.,,,CCTV controller almost knocked by loaded trolley,7,CCTV controller almost knocked by loaded trolley,False,,,
reg_near_miss_report_0046,register,near_miss_report.csv,near_miss,46,25-Sep,2024-09-25,True,,Day,Unsafe Act,UA,FALLING OBJECTS,Reel Godown,REEL GODOWN,,,,d335a563,CLOSED,1.On-site traffic management reviewed. 2. All delivery trucks to have banksmen- To be implemented by the guards,,,Truck belonging to Agava transporters knocked several reels while reversing,10,Truck belonging to Agava transporters knocked several reels while reversing,False,,,
reg_near_miss_report_0047,register,near_miss_report.csv,near_miss,47,27-Sep,2024-09-27,True,,Day,Unsafe Act,UA,NARROW ESCAPE,Pin Long,PIN LONG,,,,267c1605,CLOSED,,,,Almost hit an operator with a manual pallet trolley,9,Almost hit an operator with a manual pallet trolley,False,,,
reg_near_miss_report_0048,register,near_miss_report.csv,near_miss,48,27-Sep,2024-09-27,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,9PB,9 PB,,,,bada3339,CLOSED,Placed rubber mats on the slippery ink drainage covers.,,,Slipped at the ink drainage area,6,Slipped at the ink drainage area,False,,,
reg_near_miss_report_0049,register,near_miss_report.csv,near_miss,49,06-Oct,2024-10-06,True,,Day,Unsafe Act,UA,FALL RISK,Corrugator,CORRUGATOR,,,,6e74391b,CLOSED,Warning signage erected in the area.,,,Machine attendant almost fell while passing under corrugator downstacker area,10,Machine attendant almost fell while passing under corrugator downstacker area,False,,,
reg_near_miss_report_0050,register,near_miss_report.csv,near_miss,50,11-Oct,2024-10-11,True,,Day,Unsafe Act,UA,NARROW ESCAPE,Corrugator,CORRUGATOR,,,,ef3c11da,CLOSED,Pedestrians to use blue walkway - Corrugator operator to monitor,,,One of the printing attendants was almost hit by a trolley while moving arund the downstacker ramp,17,One of the printing attendants was almost hit by a trolley while moving arund the downstacker ramp,False,,,
reg_near_miss_report_0051,register,near_miss_report.csv,near_miss,51,23-Oct,2024-10-23,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,Pin Long,PIN LONG,,,,a789e219,OPEN,,,,An operator tripped on the water pipes on the floor,10,An operator tripped on the water pipes on the floor,False,,,
reg_near_miss_report_0052,register,near_miss_report.csv,near_miss,52,27-Oct,2024-10-27,True,,Day,Unsafe condition,UC,FALL RISK,Corrugator,CORRUGATOR,,,,bf241758,CLOSED,,,,Boards slipped and fell while beimg moved to the printing machine,11,Boards slipped and fell while beimg moved to the printing machine,False,,,
reg_near_miss_report_0053,register,near_miss_report.csv,near_miss,53,07-Dec,2024-12-07,True,,Day,Unsafe condition,UC,FALL RISK,5 PA,5 PA,,,,b9319086,CLOSED,Area barricaded and the employees in the are were alaerted,,,Uncovered manhole,2,Uncovered manhole,False,,,
reg_near_miss_report_0054,register,near_miss_report.csv,near_miss,54,18-Dec,2024-12-18,True,,Day,Unsafe condition,UC,FALL RISK,6PAN,6 PAN,,,,d335a563,CLOSED,Boards removed from the area,,,TCY Engineer slipped on carton board placed on the floor,10,TCY Engineer slipped on carton board placed on the floor,False,,,
reg_near_miss_report_0055,register,near_miss_report.csv,near_miss,55,23-Dec,2024-12-23,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,5 PA,5 PA,,,,316431a8,CLOSED,,,,Machine attendant triped on the drainange cover near slotting unit,10,Machine attendant triped on the drainange cover near slotting unit,False,,,
reg_near_miss_report_0056,register,near_miss_report.csv,near_miss,56,28-Dec,2024-12-28,True,,Day,Unsafe Act,UA,NARROW ESCAPE,6PAN,6 PAN,,,,d335a563,CLOSED,Technician caustioned to be alert and adhere to safe lifting procedures in place,,,Engineering technician almost pinched on the left hand while installing 6 PAN starpping machine,14,Engineering technician almost pinched on the left hand while installing 6 PAN starpping machine,False,,,
